run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 small1024 0 0 NONE 1024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.004647
1 small1024 0 0 NONE 1024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.065900
2 small1024 0 0 NONE 1024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.051712
3 small1024 0 0 NONE 1024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.004295
4 small1024 0 0 NONE 1024 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.005335
5 small8192 0 0 NONE 8192 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.002592
6 small8192 0 0 NONE 8192 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.069050
7 small8192 0 0 NONE 8192 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.036970
8 small8192 0 0 NONE 8192 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.003175
9 small8192 0 0 NONE 8192 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.003262
10 small32768 0 0 NONE 32768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.004040
11 small32768 0 0 NONE 32768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.072002
12 small32768 0 0 NONE 32768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.061791
13 small32768 0 0 NONE 32768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.006666
14 small32768 0 0 NONE 32768 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.004290
15 small131072 0 0 NONE 131072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.008216
16 small131072 0 0 NONE 131072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.058617
17 small131072 0 0 NONE 131072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.041129
18 small131072 0 0 NONE 131072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.004085
19 small131072 0 0 NONE 131072 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.003958
20 small524288 0 0 NONE 524288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.024499
21 small524288 0 0 NONE 524288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.102730
22 small524288 0 0 NONE 524288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.030184
23 small524288 0 0 NONE 524288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.004103
24 small524288 0 0 NONE 524288 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.003548
25 small1000000 0 0 NONE 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 100 0.052127
26 small1000000 0 0 NONE 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 50000 0.054473
27 small1000000 0 0 NONE 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 25000 0.048047
28 small1000000 0 0 NONE 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.002540
29 small1000000 0 0 NONE 1000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1000 0.003455
