run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.509934; 0.002510; 0.000000; 0.000000; 30.517578; 19.101540; 0.625919; 0; 0.000000
1; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.610101; 0.003610; 0.000000; 0.000000; 30.517578; 14.301019; 0.468616; 0; 0.000000
2; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.443862; 0.002444; 0.000000; 0.000000; 30.517578; 15.114518; 0.495273; 0; 0.000000
3; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 2.155761; 0.002156; 0.000000; 0.000000; 30.517578; 19.175606; 0.628346; 0; 0.000000
4; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.529715; 0.000053; 0.000000; 0.000000; 30.517578; 13.377248; 0.438346; 0; 0.000000
5; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.239905; 0.000124; 0.000000; 0.000000; 30.517578; 11.122612; 0.364466; 0; 0.000000
6; /small-10000-ZSTD.parquet; 8; 1000000; ZSTD; 10000; 0.504617; 0.000050; 0.000000; 0.000000; 30.517578; 11.637820; 0.381348; 0; 0.000000
7; /small-10000-SNAPPY.parquet; 8; 1000000; SNAPPY; 10000; 0.583719; 0.000058; 0.000000; 0.000000; 30.517578; 13.383712; 0.438557; 0; 0.000000
8; /small-50000-UNCOMP.parquet; 8; 1000000; UNCOMP; 50000; 0.388234; 0.000008; 0.000000; 0.000000; 30.517578; 12.569238; 0.411869; 0; 0.000000
9; /small-50000-GZIP.parquet; 8; 1000000; GZIP; 50000; 1.015752; 0.000020; 0.000000; 0.000000; 30.517578; 10.980323; 0.359803; 0; 0.000000
10; /small-50000-ZSTD.parquet; 8; 1000000; ZSTD; 50000; 0.344662; 0.000007; 0.000000; 0.000000; 30.517578; 11.672478; 0.382484; 0; 0.000000
11; /small-50000-SNAPPY.parquet; 8; 1000000; SNAPPY; 50000; 0.368353; 0.000007; 0.000000; 0.000000; 30.517578; 12.568297; 0.411838; 0; 0.000000
