run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /big-1024-UNCOMP.parquet 8 60267138 UNCOMP 1024 97.038826 0.094764 29.921259 0.000508 1839.207031 1919.803467 1.043821 100 0.007057
1 /big-1024-UNCOMP.parquet 8 60267138 UNCOMP 1024 97.038826 0.094764 29.921259 0.000508 1839.207031 1919.803467 1.043821 50000 0.032664
2 /big-1024-UNCOMP.parquet 8 60267138 UNCOMP 1024 97.038826 0.094764 29.921259 0.000508 1839.207031 1919.803467 1.043821 25000 0.015805
3 /big-1024-UNCOMP.parquet 8 60267138 UNCOMP 1024 97.038826 0.094764 29.921259 0.000508 1839.207031 1919.803467 1.043821 1000 0.000635
4 /big-1024-UNCOMP.parquet 8 60267138 UNCOMP 1024 97.038826 0.094764 29.921259 0.000508 1839.207031 1919.803467 1.043821 1000 0.002415
5 /big-1024-GZIP.parquet 8 60267138 GZIP 1024 221.711929 0.216516 44.053989 0.000749 1839.207031 608.992004 0.331117 100 0.002224
6 /big-1024-GZIP.parquet 8 60267138 GZIP 1024 221.711929 0.216516 44.053989 0.000749 1839.207031 608.992004 0.331117 50000 0.049960
7 /big-1024-GZIP.parquet 8 60267138 GZIP 1024 221.711929 0.216516 44.053989 0.000749 1839.207031 608.992004 0.331117 25000 0.026548
8 /big-1024-GZIP.parquet 8 60267138 GZIP 1024 221.711929 0.216516 44.053989 0.000749 1839.207031 608.992004 0.331117 1000 0.001375
9 /big-1024-GZIP.parquet 8 60267138 GZIP 1024 221.711929 0.216516 44.053989 0.000749 1839.207031 608.992004 0.331117 1000 0.002814
10 /big-1024-ZSTD.parquet 8 60267138 ZSTD 1024 99.258217 0.096932 35.100471 0.000596 1839.207031 636.588074 0.346121 100 0.003451
11 /big-1024-ZSTD.parquet 8 60267138 ZSTD 1024 99.258217 0.096932 35.100471 0.000596 1839.207031 636.588074 0.346121 50000 0.042418
12 /big-1024-ZSTD.parquet 8 60267138 ZSTD 1024 99.258217 0.096932 35.100471 0.000596 1839.207031 636.588074 0.346121 25000 0.021164
13 /big-1024-ZSTD.parquet 8 60267138 ZSTD 1024 99.258217 0.096932 35.100471 0.000596 1839.207031 636.588074 0.346121 1000 0.000998
