run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /small-1024-UNCOMP.parquet 8 1000000 UNCOMP 1024 1.833428 0.001790 0.570925 0.000584 30.517578 32.317429 1.058977 100 0.000914
1 /small-1024-UNCOMP.parquet 8 1000000 UNCOMP 1024 1.833428 0.001790 0.570925 0.000584 30.517578 32.317429 1.058977 50000 0.035431
2 /small-1024-UNCOMP.parquet 8 1000000 UNCOMP 1024 1.833428 0.001790 0.570925 0.000584 30.517578 32.317429 1.058977 25000 0.016180
3 /small-1024-UNCOMP.parquet 8 1000000 UNCOMP 1024 1.833428 0.001790 0.570925 0.000584 30.517578 32.317429 1.058977 1000 0.000691
4 /small-1024-UNCOMP.parquet 8 1000000 UNCOMP 1024 1.833428 0.001790 0.570925 0.000584 30.517578 32.317429 1.058977 1000 0.001109
5 /small-1024-GZIP.parquet 8 1000000 GZIP 1024 3.559246 0.003476 0.792164 0.000811 30.517578 11.526885 0.377713 100 0.001567
6 /small-1024-GZIP.parquet 8 1000000 GZIP 1024 3.559246 0.003476 0.792164 0.000811 30.517578 11.526885 0.377713 50000 0.051776
7 /small-1024-GZIP.parquet 8 1000000 GZIP 1024 3.559246 0.003476 0.792164 0.000811 30.517578 11.526885 0.377713 25000 0.026570
8 /small-1024-GZIP.parquet 8 1000000 GZIP 1024 3.559246 0.003476 0.792164 0.000811 30.517578 11.526885 0.377713 1000 0.001290
9 /small-1024-GZIP.parquet 8 1000000 GZIP 1024 3.559246 0.003476 0.792164 0.000811 30.517578 11.526885 0.377713 1000 0.002092
10 /small-1024-ZSTD.parquet 8 1000000 ZSTD 1024 1.547451 0.001511 0.676627 0.000693 30.517578 11.769928 0.385677 100 0.001061
11 /small-1024-ZSTD.parquet 8 1000000 ZSTD 1024 1.547451 0.001511 0.676627 0.000693 30.517578 11.769928 0.385677 50000 0.043047
12 /small-1024-ZSTD.parquet 8 1000000 ZSTD 1024 1.547451 0.001511 0.676627 0.000693 30.517578 11.769928 0.385677 25000 0.019207
13 /small-1024-ZSTD.parquet 8 1000000 ZSTD 1024 1.547451 0.001511 0.676627 0.000693 30.517578 11.769928 0.385677 1000 0.001050
14 /small-1024-ZSTD.parquet 8 1000000 ZSTD 1024 1.547451 0.001511 0.676627 0.000693 30.517578 11.769928 0.385677 1000 0.001798
15 /small-1024-SNAPPY.parquet 8 1000000 SNAPPY 1024 1.346085 0.001315 0.578111 0.000592 30.517578 18.063805 0.591915 100 0.000957
16 /small-1024-SNAPPY.parquet 8 1000000 SNAPPY 1024 1.346085 0.001315 0.578111 0.000592 30.517578 18.063805 0.591915 50000 0.037092
17 /small-1024-SNAPPY.parquet 8 1000000 SNAPPY 1024 1.346085 0.001315 0.578111 0.000592 30.517578 18.063805 0.591915 25000 0.019631
18 /small-1024-SNAPPY.parquet 8 1000000 SNAPPY 1024 1.346085 0.001315 0.578111 0.000592 30.517578 18.063805 0.591915 1000 0.001393
19 /small-1024-SNAPPY.parquet 8 1000000 SNAPPY 1024 1.346085 0.001315 0.578111 0.000592 30.517578 18.063805 0.591915 1000 0.002094
20 /small-8192-UNCOMP.parquet 8 1000000 UNCOMP 8192 0.484420 0.000059 0.312592 0.002541 30.517578 30.945824 1.014033 100 0.004504
21 /small-8192-UNCOMP.parquet 8 1000000 UNCOMP 8192 0.484420 0.000059 0.312592 0.002541 30.517578 30.945824 1.014033 50000 0.023739
22 /small-8192-UNCOMP.parquet 8 1000000 UNCOMP 8192 0.484420 0.000059 0.312592 0.002541 30.517578 30.945824 1.014033 25000 0.013249
23 /small-8192-UNCOMP.parquet 8 1000000 UNCOMP 8192 0.484420 0.000059 0.312592 0.002541 30.517578 30.945824 1.014033 1000 0.003901
24 /small-8192-UNCOMP.parquet 8 1000000 UNCOMP 8192 0.484420 0.000059 0.312592 0.002541 30.517578 30.945824 1.014033 1000 0.003754
25 /small-8192-GZIP.parquet 8 1000000 GZIP 8192 2.882803 0.000352 0.480955 0.003910 30.517578 9.218331 0.302066 100 0.007332
26 /small-8192-GZIP.parquet 8 1000000 GZIP 8192 2.882803 0.000352 0.480955 0.003910 30.517578 9.218331 0.302066 50000 0.035202
27 /small-8192-GZIP.parquet 8 1000000 GZIP 8192 2.882803 0.000352 0.480955 0.003910 30.517578 9.218331 0.302066 25000 0.021441
28 /small-8192-GZIP.parquet 8 1000000 GZIP 8192 2.882803 0.000352 0.480955 0.003910 30.517578 9.218331 0.302066 1000 0.006867
29 /small-8192-GZIP.parquet 8 1000000 GZIP 8192 2.882803 0.000352 0.480955 0.003910 30.517578 9.218331 0.302066 1000 0.006429
30 /small-8192-ZSTD.parquet 8 1000000 ZSTD 8192 0.670147 0.000082 0.429382 0.003491 30.517578 9.388024 0.307627 100 0.004953
31 /small-8192-ZSTD.parquet 8 1000000 ZSTD 8192 0.670147 0.000082 0.429382 0.003491 30.517578 9.388024 0.307627 50000 0.031448
32 /small-8192-ZSTD.parquet 8 1000000 ZSTD 8192 0.670147 0.000082 0.429382 0.003491 30.517578 9.388024 0.307627 25000 0.016946
33 /small-8192-ZSTD.parquet 8 1000000 ZSTD 8192 0.670147 0.000082 0.429382 0.003491 30.517578 9.388024 0.307627 1000 0.005383
34 /small-8192-ZSTD.parquet 8 1000000 ZSTD 8192 0.670147 0.000082 0.429382 0.003491 30.517578 9.388024 0.307627 1000 0.005710
35 /small-8192-SNAPPY.parquet 8 1000000 SNAPPY 8192 0.496878 0.000061 0.384562 0.003127 30.517578 15.745238 0.515940 100 0.004774
36 /small-8192-SNAPPY.parquet 8 1000000 SNAPPY 8192 0.496878 0.000061 0.384562 0.003127 30.517578 15.745238 0.515940 50000 0.028510
37 /small-8192-SNAPPY.parquet 8 1000000 SNAPPY 8192 0.496878 0.000061 0.384562 0.003127 30.517578 15.745238 0.515940 25000 0.018631
38 /small-8192-SNAPPY.parquet 8 1000000 SNAPPY 8192 0.496878 0.000061 0.384562 0.003127 30.517578 15.745238 0.515940 1000 0.005072
39 /small-8192-SNAPPY.parquet 8 1000000 SNAPPY 8192 0.496878 0.000061 0.384562 0.003127 30.517578 15.745238 0.515940 1000 0.005330
40 /small-32768-UNCOMP.parquet 8 1000000 UNCOMP 32768 0.328031 0.000010 0.302322 0.009752 30.517578 30.789753 1.008919 100 0.013951
41 /small-32768-UNCOMP.parquet 8 1000000 UNCOMP 32768 0.328031 0.000010 0.302322 0.009752 30.517578 30.789753 1.008919 50000 0.029298
42 /small-32768-UNCOMP.parquet 8 1000000 UNCOMP 32768 0.328031 0.000010 0.302322 0.009752 30.517578 30.789753 1.008919 25000 0.013960
43 /small-32768-UNCOMP.parquet 8 1000000 UNCOMP 32768 0.328031 0.000010 0.302322 0.009752 30.517578 30.789753 1.008919 1000 0.013042
