run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /small-1000-UNCOMP.parquet 0 0 UNCOMP 1000 0.000000 0.000000 0.566951 0.000566 0.000000 0.000000 0.000000 0 0.000000
1 /small-1000-GZIP.parquet 0 0 GZIP 1000 0.000000 0.000000 1.293305 0.001292 0.000000 0.000000 0.000000 0 0.000000
2 /small-1000-ZSTD.parquet 0 0 ZSTD 1000 0.000000 0.000000 0.449194 0.000449 0.000000 0.000000 0.000000 0 0.000000
3 /small-1000-SNAPPY.parquet 0 0 SNAPPY 1000 0.000000 0.000000 0.401155 0.000401 0.000000 0.000000 0.000000 0 0.000000
4 /small-5000-UNCOMP.parquet 0 0 UNCOMP 5000 0.000000 0.000000 0.298828 0.001487 0.000000 0.000000 0.000000 0 0.000000
5 /small-5000-GZIP.parquet 0 0 GZIP 5000 0.000000 0.000000 0.415348 0.002066 0.000000 0.000000 0.000000 0 0.000000
6 /small-5000-ZSTD.parquet 0 0 ZSTD 5000 0.000000 0.000000 0.316259 0.001573 0.000000 0.000000 0.000000 0 0.000000
7 /small-5000-SNAPPY.parquet 0 0 SNAPPY 5000 0.000000 0.000000 0.306027 0.001523 0.000000 0.000000 0.000000 0 0.000000
8 /small-10000-UNCOMP.parquet 0 0 UNCOMP 10000 0.000000 0.000000 0.279027 0.002763 0.000000 0.000000 0.000000 0 0.000000
9 /small-10000-GZIP.parquet 0 0 GZIP 10000 0.000000 0.000000 0.548991 0.005436 0.000000 0.000000 0.000000 0 0.000000
10 /small-10000-ZSTD.parquet 0 0 ZSTD 10000 0.000000 0.000000 0.297814 0.002949 0.000000 0.000000 0.000000 0 0.000000
11 /small-10000-SNAPPY.parquet 0 0 SNAPPY 10000 0.000000 0.000000 0.275356 0.002726 0.000000 0.000000 0.000000 0 0.000000
12 /small-25000-UNCOMP.parquet 0 0 UNCOMP 25000 0.000000 0.000000 0.268466 0.006548 0.000000 0.000000 0.000000 0 0.000000
13 /small-25000-GZIP.parquet 0 0 GZIP 25000 0.000000 0.000000 0.358654 0.008748 0.000000 0.000000 0.000000 0 0.000000
14 /small-25000-ZSTD.parquet 0 0 ZSTD 25000 0.000000 0.000000 0.290403 0.007083 0.000000 0.000000 0.000000 0 0.000000
15 /small-25000-SNAPPY.parquet 0 0 SNAPPY 25000 0.000000 0.000000 0.283923 0.006925 0.000000 0.000000 0.000000 0 0.000000
16 /small-50000-UNCOMP.parquet 0 0 UNCOMP 50000 0.000000 0.000000 0.279185 0.013295 0.000000 0.000000 0.000000 0 0.000000
17 /small-50000-GZIP.parquet 0 0 GZIP 50000 0.000000 0.000000 0.354154 0.016864 0.000000 0.000000 0.000000 0 0.000000
18 /small-50000-ZSTD.parquet 0 0 ZSTD 50000 0.000000 0.000000 0.285064 0.013574 0.000000 0.000000 0.000000 0 0.000000
19 /small-50000-SNAPPY.parquet 0 0 SNAPPY 50000 0.000000 0.000000 0.290415 0.013829 0.000000 0.000000 0.000000 0 0.000000
20 /small-65000-UNCOMP.parquet 0 0 UNCOMP 65000 0.000000 0.000000 0.282908 0.017682 0.000000 0.000000 0.000000 0 0.000000
21 /small-65000-GZIP.parquet 0 0 GZIP 65000 0.000000 0.000000 0.358280 0.022392 0.000000 0.000000 0.000000 0 0.000000
22 /small-65000-ZSTD.parquet 0 0 ZSTD 65000 0.000000 0.000000 0.301423 0.018839 0.000000 0.000000 0.000000 0 0.000000
23 /small-65000-SNAPPY.parquet 0 0 SNAPPY 65000 0.000000 0.000000 0.283564 0.017723 0.000000 0.000000 0.000000 0 0.000000
24 /small-80000-UNCOMP.parquet 0 0 UNCOMP 80000 0.000000 0.000000 0.278183 0.021399 0.000000 0.000000 0.000000 0 0.000000
25 /small-80000-GZIP.parquet 0 0 GZIP 80000 0.000000 0.000000 0.364710 0.028055 0.000000 0.000000 0.000000 0 0.000000
26 /small-80000-ZSTD.parquet 0 0 ZSTD 80000 0.000000 0.000000 0.299610 0.023047 0.000000 0.000000 0.000000 0 0.000000
27 /small-80000-SNAPPY.parquet 0 0 SNAPPY 80000 0.000000 0.000000 0.284857 0.021912 0.000000 0.000000 0.000000 0 0.000000
