run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /small-1000-UNCOMP.parquet 0 0 UNCOMP 1000 0.000000 0.000000 0.854739 0.000855 0.000000 0.000000 0.000000 0 0.000000
1 /small-1000-GZIP.parquet 0 0 GZIP 1000 0.000000 0.000000 1.041141 0.001041 0.000000 0.000000 0.000000 0 0.000000
2 /small-1000-ZSTD.parquet 0 0 ZSTD 1000 0.000000 0.000000 0.840352 0.000840 0.000000 0.000000 0.000000 0 0.000000
3 /small-1000-SNAPPY.parquet 0 0 SNAPPY 1000 0.000000 0.000000 0.718039 0.000718 0.000000 0.000000 0.000000 0 0.000000
4 /small-5000-UNCOMP.parquet 0 0 UNCOMP 5000 0.000000 0.000000 0.457177 0.000091 0.000000 0.000000 0.000000 0 0.000000
5 /small-5000-GZIP.parquet 0 0 GZIP 5000 0.000000 0.000000 0.004141 0.000001 0.000000 0.000000 0.000000 0 0.000000
6 /small-5000-ZSTD.parquet 0 0 ZSTD 5000 0.000000 0.000000 0.003891 0.000001 0.000000 0.000000 0.000000 0 0.000000
7 /small-5000-SNAPPY.parquet 0 0 SNAPPY 5000 0.000000 0.000000 0.002612 0.000001 0.000000 0.000000 0.000000 0 0.000000
8 /small-10000-UNCOMP.parquet 0 0 UNCOMP 10000 0.000000 0.000000 0.006232 0.000001 0.000000 0.000000 0.000000 0 0.000000
9 /small-10000-GZIP.parquet 0 0 GZIP 10000 0.000000 0.000000 0.011451 0.000001 0.000000 0.000000 0.000000 0 0.000000
10 /small-10000-ZSTD.parquet 0 0 ZSTD 10000 0.000000 0.000000 0.008327 0.000001 0.000000 0.000000 0.000000 0 0.000000
11 /small-10000-SNAPPY.parquet 0 0 SNAPPY 10000 0.000000 0.000000 0.006372 0.000001 0.000000 0.000000 0.000000 0 0.000000
12 /small-25000-UNCOMP.parquet 0 0 UNCOMP 25000 0.000000 0.000000 0.015008 0.000001 0.000000 0.000000 0.000000 0 0.000000
13 /small-25000-GZIP.parquet 0 0 GZIP 25000 0.000000 0.000000 0.023886 0.000001 0.000000 0.000000 0.000000 0 0.000000
14 /small-25000-ZSTD.parquet 0 0 ZSTD 25000 0.000000 0.000000 0.013196 0.000001 0.000000 0.000000 0.000000 0 0.000000
15 /small-25000-SNAPPY.parquet 0 0 SNAPPY 25000 0.000000 0.000000 0.015327 0.000001 0.000000 0.000000 0.000000 0 0.000000
16 /small-50000-UNCOMP.parquet 0 0 UNCOMP 50000 0.000000 0.000000 0.025032 0.000001 0.000000 0.000000 0.000000 0 0.000000
17 /small-50000-GZIP.parquet 0 0 GZIP 50000 0.000000 0.000000 0.035379 0.000001 0.000000 0.000000 0.000000 0 0.000000
18 /small-50000-ZSTD.parquet 0 0 ZSTD 50000 0.000000 0.000000 0.022941 0.000000 0.000000 0.000000 0.000000 0 0.000000
19 /small-50000-SNAPPY.parquet 0 0 SNAPPY 50000 0.000000 0.000000 0.021290 0.000000 0.000000 0.000000 0.000000 0 0.000000
20 /small-65000-UNCOMP.parquet 0 0 UNCOMP 65000 0.000000 0.000000 0.037077 0.000001 0.000000 0.000000 0.000000 0 0.000000
21 /small-65000-GZIP.parquet 0 0 GZIP 65000 0.000000 0.000000 0.054629 0.000001 0.000000 0.000000 0.000000 0 0.000000
22 /small-65000-ZSTD.parquet 0 0 ZSTD 65000 0.000000 0.000000 0.040755 0.000001 0.000000 0.000000 0.000000 0 0.000000
23 /small-65000-SNAPPY.parquet 0 0 SNAPPY 65000 0.000000 0.000000 0.036248 0.000001 0.000000 0.000000 0.000000 0 0.000000
24 /small-80000-UNCOMP.parquet 0 0 UNCOMP 80000 0.000000 0.000000 0.062457 0.000001 0.000000 0.000000 0.000000 0 0.000000
25 /small-80000-GZIP.parquet 0 0 GZIP 80000 0.000000 0.000000 0.066360 0.000001 0.000000 0.000000 0.000000 0 0.000000
26 /small-80000-ZSTD.parquet 0 0 ZSTD 80000 0.000000 0.000000 0.051503 0.000001 0.000000 0.000000 0.000000 0 0.000000
27 /small-80000-SNAPPY.parquet 0 0 SNAPPY 80000 0.000000 0.000000 0.046844 0.000001 0.000000 0.000000 0.000000 0 0.000000
28 /small-100000-UNCOMP.parquet 0 0 UNCOMP 100000 0.000000 0.000000 0.040860 0.000000 0.000000 0.000000 0.000000 0 0.000000
29 /small-100000-GZIP.parquet 0 0 GZIP 100000 0.000000 0.000000 0.505353 0.000005 0.000000 0.000000 0.000000 0 0.000000
30 /small-100000-ZSTD.parquet 0 0 ZSTD 100000 0.000000 0.000000 0.426064 0.000004 0.000000 0.000000 0.000000 0 0.000000
31 /small-100000-SNAPPY.parquet 0 0 SNAPPY 100000 0.000000 0.000000 0.429850 0.000004 0.000000 0.000000 0.000000 0 0.000000
32 /small-125000-UNCOMP.parquet 0 0 UNCOMP 125000 0.000000 0.000000 0.050004 0.000000 0.000000 0.000000 0.000000 0 0.000000
33 /small-125000-GZIP.parquet 0 0 GZIP 125000 0.000000 0.000000 0.074801 0.000001 0.000000 0.000000 0.000000 0 0.000000
34 /small-125000-ZSTD.parquet 0 0 ZSTD 125000 0.000000 0.000000 0.043656 0.000000 0.000000 0.000000 0.000000 0 0.000000
35 /small-125000-SNAPPY.parquet 0 0 SNAPPY 125000 0.000000 0.000000 0.048607 0.000000 0.000000 0.000000 0.000000 0 0.000000
36 /small-150000-UNCOMP.parquet 0 0 UNCOMP 150000 0.000000 0.000000 0.101618 0.000001 0.000000 0.000000 0.000000 0 0.000000
37 /small-150000-GZIP.parquet 0 0 GZIP 150000 0.000000 0.000000 0.126928 0.000001 0.000000 0.000000 0.000000 0 0.000000
38 /small-150000-ZSTD.parquet 0 0 ZSTD 150000 0.000000 0.000000 0.093133 0.000001 0.000000 0.000000 0.000000 0 0.000000
39 /small-150000-SNAPPY.parquet 0 0 SNAPPY 150000 0.000000 0.000000 0.083669 0.000001 0.000000 0.000000 0.000000 0 0.000000
40 /small-175000-UNCOMP.parquet 0 0 UNCOMP 175000 0.000000 0.000000 0.109940 0.000001 0.000000 0.000000 0.000000 0 0.000000
41 /small-175000-GZIP.parquet 0 0 GZIP 175000 0.000000 0.000000 0.143618 0.000001 0.000000 0.000000 0.000000 0 0.000000
