run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /small-1000-UNCOMP.parquet 0 0 UNCOMP 1000 0.000000 0.000000 0.875888 0.001179 0.000000 0.000000 0.000000 0 0.000000
1 /small-1000-GZIP.parquet 0 0 GZIP 1000 0.000000 0.000000 2.064015 0.001338 0.000000 0.000000 0.000000 0 0.000000
2 /small-1000-ZSTD.parquet 0 0 ZSTD 1000 0.000000 0.000000 0.220500 0.000126 0.000000 0.000000 0.000000 0 0.000000
3 /small-1000-SNAPPY.parquet 0 0 SNAPPY 1000 0.000000 0.000000 0.249367 0.000128 0.000000 0.000000 0.000000 0 0.000000
4 /small-5000-UNCOMP.parquet 0 0 UNCOMP 5000 0.000000 0.000000 0.293078 0.000143 0.000000 0.000000 0.000000 0 0.000000
5 /small-5000-GZIP.parquet 0 0 GZIP 5000 0.000000 0.000000 0.104367 0.000050 0.000000 0.000000 0.000000 0 0.000000
6 /small-5000-ZSTD.parquet 0 0 ZSTD 5000 0.000000 0.000000 0.076844 0.000037 0.000000 0.000000 0.000000 0 0.000000
7 /small-5000-SNAPPY.parquet 0 0 SNAPPY 5000 0.000000 0.000000 0.071874 0.000034 0.000000 0.000000 0.000000 0 0.000000
8 /small-10000-UNCOMP.parquet 0 0 UNCOMP 10000 0.000000 0.000000 0.134864 0.000063 0.000000 0.000000 0.000000 0 0.000000
9 /small-10000-GZIP.parquet 0 0 GZIP 10000 0.000000 0.000000 0.206038 0.000095 0.000000 0.000000 0.000000 0 0.000000
10 /small-10000-ZSTD.parquet 0 0 ZSTD 10000 0.000000 0.000000 0.148691 0.000068 0.000000 0.000000 0.000000 0 0.000000
11 /small-10000-SNAPPY.parquet 0 0 SNAPPY 10000 0.000000 0.000000 0.124257 0.000056 0.000000 0.000000 0.000000 0 0.000000
12 /small-25000-UNCOMP.parquet 0 0 UNCOMP 25000 0.000000 0.000000 0.269184 0.000121 0.000000 0.000000 0.000000 0 0.000000
13 /small-25000-GZIP.parquet 0 0 GZIP 25000 0.000000 0.000000 0.420950 0.000187 0.000000 0.000000 0.000000 0 0.000000
14 /small-25000-ZSTD.parquet 0 0 ZSTD 25000 0.000000 0.000000 0.282615 0.000124 0.000000 0.000000 0.000000 0 0.000000
15 /small-25000-SNAPPY.parquet 0 0 SNAPPY 25000 0.000000 0.000000 0.085387 0.000037 0.000000 0.000000 0.000000 0 0.000000
16 /small-50000-UNCOMP.parquet 0 0 UNCOMP 50000 0.000000 0.000000 0.165283 0.000072 0.000000 0.000000 0.000000 0 0.000000
17 /small-50000-GZIP.parquet 0 0 GZIP 50000 0.000000 0.000000 0.258818 0.000113 0.000000 0.000000 0.000000 0 0.000000
18 /small-50000-ZSTD.parquet 0 0 ZSTD 50000 0.000000 0.000000 0.166758 0.000072 0.000000 0.000000 0.000000 0 0.000000
19 /small-50000-SNAPPY.parquet 0 0 SNAPPY 50000 0.000000 0.000000 0.166752 0.000072 0.000000 0.000000 0.000000 0 0.000000
20 /small-65000-UNCOMP.parquet 0 0 UNCOMP 65000 0.000000 0.000000 0.209937 0.000090 0.000000 0.000000 0.000000 0 0.000000
21 /small-65000-GZIP.parquet 0 0 GZIP 65000 0.000000 0.000000 0.648190 0.000277 0.000000 0.000000 0.000000 0 0.000000
22 /small-65000-ZSTD.parquet 0 0 ZSTD 65000 0.000000 0.000000 0.563657 0.000239 0.000000 0.000000 0.000000 0 0.000000
23 /small-65000-SNAPPY.parquet 0 0 SNAPPY 65000 0.000000 0.000000 0.443850 0.000187 0.000000 0.000000 0.000000 0 0.000000
