run_nr; file_id; ch_num; all_points; compresion_type; quant_points; time_write; time_write_quant; time_read; time_read_quant; file_size_mb; compressed_file_size_mb; compression_coef; read_interval_points; read_interval_time
0; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.552056; 0.002552; 0.536566; 0.000537; 30.517578; 19.101540; 0.625919; 1000; 0.000717
1; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.552056; 0.002552; 0.536566; 0.000537; 30.517578; 19.101540; 0.625919; 100000; 0.072065
2; /small-1000-UNCOMP.parquet; 8; 1000000; UNCOMP; 1000; 2.552056; 0.002552; 0.536566; 0.000537; 30.517578; 19.101540; 0.625919; 50000; 0.035837
3; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.504892; 0.003505; 0.719443; 0.000719; 30.517578; 14.301019; 0.468616; 1000; 0.002134
4; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.504892; 0.003505; 0.719443; 0.000719; 30.517578; 14.301019; 0.468616; 100000; 0.094530
5; /small-1000-GZIP.parquet; 8; 1000000; GZIP; 1000; 3.504892; 0.003505; 0.719443; 0.000719; 30.517578; 14.301019; 0.468616; 50000; 0.062498
6; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.249569; 0.002250; 0.650463; 0.000650; 30.517578; 15.114518; 0.495273; 1000; 0.001279
7; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.249569; 0.002250; 0.650463; 0.000650; 30.517578; 15.114518; 0.495273; 100000; 0.080498
8; /small-1000-ZSTD.parquet; 8; 1000000; ZSTD; 1000; 2.249569; 0.002250; 0.650463; 0.000650; 30.517578; 15.114518; 0.495273; 50000; 0.043830
9; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 2.342790; 0.002343; 0.490376; 0.000490; 30.517578; 19.175606; 0.628346; 1000; 0.000849
10; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 2.342790; 0.002343; 0.490376; 0.000490; 30.517578; 19.175606; 0.628346; 100000; 0.066520
11; /small-1000-SNAPPY.parquet; 8; 1000000; SNAPPY; 1000; 2.342790; 0.002343; 0.490376; 0.000490; 30.517578; 19.175606; 0.628346; 50000; 0.037192
12; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.501135; 0.000050; 0.325145; 0.000033; 30.517578; 13.377248; 0.438346; 1000; 0.006323
13; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.501135; 0.000050; 0.325145; 0.000033; 30.517578; 13.377248; 0.438346; 100000; 0.041671
14; /small-10000-UNCOMP.parquet; 8; 1000000; UNCOMP; 10000; 0.501135; 0.000050; 0.325145; 0.000033; 30.517578; 13.377248; 0.438346; 50000; 0.021519
15; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.133311; 0.000113; 0.426642; 0.000043; 30.517578; 11.122612; 0.364466; 1000; 0.008471
16; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.133311; 0.000113; 0.426642; 0.000043; 30.517578; 11.122612; 0.364466; 100000; 0.058344
17; /small-10000-GZIP.parquet; 8; 1000000; GZIP; 10000; 1.133311; 0.000113; 0.426642; 0.000043; 30.517578; 11.122612; 0.364466; 50000; 0.029117
18; /small-10000-ZSTD.parquet; 8; 1000000; ZSTD; 10000; 0.591030; 0.000059; 0.323473; 0.000032; 30.517578; 11.637820; 0.381348; 1000; 0.005085
19; /small-10000-ZSTD.parquet; 8; 1000000; ZSTD; 10000; 0.591030; 0.000059; 0.323473; 0.000032; 30.517578; 11.637820; 0.381348; 100000; 0.047281
