run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /small-1000-UNCOMP.parquet 8 1000000 UNCOMP 1000 2.489399 0.002489 0.529420 0.000529 30.517578 19.101540 0.625919 100 0.001966
1 /small-1000-UNCOMP.parquet 8 1000000 UNCOMP 1000 2.489399 0.002489 0.529420 0.000529 30.517578 19.101540 0.625919 100000 0.072894
2 /small-1000-UNCOMP.parquet 8 1000000 UNCOMP 1000 2.489399 0.002489 0.529420 0.000529 30.517578 19.101540 0.625919 50000 0.032777
3 /small-1000-UNCOMP.parquet 8 1000000 UNCOMP 1000 2.489399 0.002489 0.529420 0.000529 30.517578 19.101540 0.625919 25000 0.017257
4 /small-1000-UNCOMP.parquet 8 1000000 UNCOMP 1000 2.489399 0.002489 0.529420 0.000529 30.517578 19.101540 0.625919 1000 0.001551
5 /small-1000-GZIP.parquet 8 1000000 GZIP 1000 3.698797 0.003699 0.663781 0.000664 30.517578 14.301019 0.468616 100 0.001235
6 /small-1000-GZIP.parquet 8 1000000 GZIP 1000 3.698797 0.003699 0.663781 0.000664 30.517578 14.301019 0.468616 100000 0.106320
7 /small-1000-GZIP.parquet 8 1000000 GZIP 1000 3.698797 0.003699 0.663781 0.000664 30.517578 14.301019 0.468616 50000 0.046110
8 /small-1000-GZIP.parquet 8 1000000 GZIP 1000 3.698797 0.003699 0.663781 0.000664 30.517578 14.301019 0.468616 25000 0.022667
9 /small-1000-GZIP.parquet 8 1000000 GZIP 1000 3.698797 0.003699 0.663781 0.000664 30.517578 14.301019 0.468616 1000 0.001291
10 /small-1000-ZSTD.parquet 8 1000000 ZSTD 1000 2.202179 0.002202 0.566876 0.000567 30.517578 15.114518 0.495273 100 0.000946
11 /small-1000-ZSTD.parquet 8 1000000 ZSTD 1000 2.202179 0.002202 0.566876 0.000567 30.517578 15.114518 0.495273 100000 0.093053
12 /small-1000-ZSTD.parquet 8 1000000 ZSTD 1000 2.202179 0.002202 0.566876 0.000567 30.517578 15.114518 0.495273 50000 0.034992
13 /small-1000-ZSTD.parquet 8 1000000 ZSTD 1000 2.202179 0.002202 0.566876 0.000567 30.517578 15.114518 0.495273 25000 0.021194
14 /small-1000-ZSTD.parquet 8 1000000 ZSTD 1000 2.202179 0.002202 0.566876 0.000567 30.517578 15.114518 0.495273 1000 0.001137
15 /small-1000-SNAPPY.parquet 8 1000000 SNAPPY 1000 2.027224 0.002027 0.425244 0.000425 30.517578 19.175606 0.628346 100 0.001569
16 /small-1000-SNAPPY.parquet 8 1000000 SNAPPY 1000 2.027224 0.002027 0.425244 0.000425 30.517578 19.175606 0.628346 100000 0.070979
17 /small-1000-SNAPPY.parquet 8 1000000 SNAPPY 1000 2.027224 0.002027 0.425244 0.000425 30.517578 19.175606 0.628346 50000 0.037244
18 /small-1000-SNAPPY.parquet 8 1000000 SNAPPY 1000 2.027224 0.002027 0.425244 0.000425 30.517578 19.175606 0.628346 25000 0.020847
19 /small-1000-SNAPPY.parquet 8 1000000 SNAPPY 1000 2.027224 0.002027 0.425244 0.000425 30.517578 19.175606 0.628346 1000 0.001323
20 /small-5000-UNCOMP.parquet 8 1000000 UNCOMP 5000 0.836728 0.000167 0.300085 0.000060 30.517578 14.197920 0.465237 100 0.002694
21 /small-5000-UNCOMP.parquet 8 1000000 UNCOMP 5000 0.836728 0.000167 0.300085 0.000060 30.517578 14.197920 0.465237 100000 0.048931
22 /small-5000-UNCOMP.parquet 8 1000000 UNCOMP 5000 0.836728 0.000167 0.300085 0.000060 30.517578 14.197920 0.465237 50000 0.025636
23 /small-5000-UNCOMP.parquet 8 1000000 UNCOMP 5000 0.836728 0.000167 0.300085 0.000060 30.517578 14.197920 0.465237 25000 0.012573
24 /small-5000-UNCOMP.parquet 8 1000000 UNCOMP 5000 0.836728 0.000167 0.300085 0.000060 30.517578 14.197920 0.465237 1000 0.004283
25 /small-5000-GZIP.parquet 8 1000000 GZIP 5000 1.349836 0.000270 0.391956 0.000078 30.517578 11.458519 0.375473 100 0.005849
26 /small-5000-GZIP.parquet 8 1000000 GZIP 5000 1.349836 0.000270 0.391956 0.000078 30.517578 11.458519 0.375473 100000 0.063695
27 /small-5000-GZIP.parquet 8 1000000 GZIP 5000 1.349836 0.000270 0.391956 0.000078 30.517578 11.458519 0.375473 50000 0.033395
28 /small-5000-GZIP.parquet 8 1000000 GZIP 5000 1.349836 0.000270 0.391956 0.000078 30.517578 11.458519 0.375473 25000 0.018576
29 /small-5000-GZIP.parquet 8 1000000 GZIP 5000 1.349836 0.000270 0.391956 0.000078 30.517578 11.458519 0.375473 1000 0.004362
30 /small-5000-ZSTD.parquet 8 1000000 ZSTD 5000 0.735077 0.000147 0.348843 0.000070 30.517578 11.994333 0.393030 100 0.002831
31 /small-5000-ZSTD.parquet 8 1000000 ZSTD 5000 0.735077 0.000147 0.348843 0.000070 30.517578 11.994333 0.393030 100000 0.050001
32 /small-5000-ZSTD.parquet 8 1000000 ZSTD 5000 0.735077 0.000147 0.348843 0.000070 30.517578 11.994333 0.393030 50000 0.029043
33 /small-5000-ZSTD.parquet 8 1000000 ZSTD 5000 0.735077 0.000147 0.348843 0.000070 30.517578 11.994333 0.393030 25000 0.014670
34 /small-5000-ZSTD.parquet 8 1000000 ZSTD 5000 0.735077 0.000147 0.348843 0.000070 30.517578 11.994333 0.393030 1000 0.002778
35 /small-5000-SNAPPY.parquet 8 1000000 SNAPPY 5000 0.708577 0.000142 0.307970 0.000062 30.517578 14.211321 0.465677 100 0.002503
36 /small-5000-SNAPPY.parquet 8 1000000 SNAPPY 5000 0.708577 0.000142 0.307970 0.000062 30.517578 14.211321 0.465677 100000 0.048675
37 /small-5000-SNAPPY.parquet 8 1000000 SNAPPY 5000 0.708577 0.000142 0.307970 0.000062 30.517578 14.211321 0.465677 50000 0.025775
38 /small-5000-SNAPPY.parquet 8 1000000 SNAPPY 5000 0.708577 0.000142 0.307970 0.000062 30.517578 14.211321 0.465677 25000 0.013126
39 /small-5000-SNAPPY.parquet 8 1000000 SNAPPY 5000 0.708577 0.000142 0.307970 0.000062 30.517578 14.211321 0.465677 1000 0.003397
40 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 100 0.004367
41 /small-10000-UNCOMP.parquet 8 1000000 UNCOMP 10000 0.470099 0.000047 0.299796 0.000030 30.517578 13.377248 0.438346 100000 0.043326
