run_nr file_id ch_num all_points compresion_type quant_points time_write time_write_quant time_read time_read_quant file_size_mb compressed_file_size_mb compression_coef read_interval_points read_interval_time
0 /big-1000-UNCOMP.parquet 8 60267138 UNCOMP 1000 139.537125 0.139537 22.277737 0.022278 1839.207031 1041.718506 0.566395 100 0.007180
1 /big-1000-UNCOMP.parquet 8 60267138 UNCOMP 1000 139.537125 0.139537 22.277737 0.022278 1839.207031 1041.718506 0.566395 100000 0.070365
2 /big-1000-UNCOMP.parquet 8 60267138 UNCOMP 1000 139.537125 0.139537 22.277737 0.022278 1839.207031 1041.718506 0.566395 50000 0.037585
3 /big-1000-UNCOMP.parquet 8 60267138 UNCOMP 1000 139.537125 0.139537 22.277737 0.022278 1839.207031 1041.718506 0.566395 25000 0.017977
4 /big-1000-UNCOMP.parquet 8 60267138 UNCOMP 1000 139.537125 0.139537 22.277737 0.022278 1839.207031 1041.718506 0.566395 1000 0.001409
5 /big-1000-GZIP.parquet 8 60267138 GZIP 1000 250.049133 0.250049 36.841717 0.036842 1839.207031 781.341614 0.424825 100 0.009694
6 /big-1000-GZIP.parquet 8 60267138 GZIP 1000 250.049133 0.250049 36.841717 0.036842 1839.207031 781.341614 0.424825 100000 0.132641
7 /big-1000-GZIP.parquet 8 60267138 GZIP 1000 250.049133 0.250049 36.841717 0.036842 1839.207031 781.341614 0.424825 50000 0.051715
8 /big-1000-GZIP.parquet 8 60267138 GZIP 1000 250.049133 0.250049 36.841717 0.036842 1839.207031 781.341614 0.424825 25000 0.026581
9 /big-1000-GZIP.parquet 8 60267138 GZIP 1000 250.049133 0.250049 36.841717 0.036842 1839.207031 781.341614 0.424825 1000 0.004036
10 /big-1000-ZSTD.parquet 8 60267138 ZSTD 1000 155.845840 0.155846 26.566851 0.026567 1839.207031 827.466553 0.449904 100 0.003295
11 /big-1000-ZSTD.parquet 8 60267138 ZSTD 1000 155.845840 0.155846 26.566851 0.026567 1839.207031 827.466553 0.449904 100000 0.081862
12 /big-1000-ZSTD.parquet 8 60267138 ZSTD 1000 155.845840 0.155846 26.566851 0.026567 1839.207031 827.466553 0.449904 50000 0.044578
13 /big-1000-ZSTD.parquet 8 60267138 ZSTD 1000 155.845840 0.155846 26.566851 0.026567 1839.207031 827.466553 0.449904 25000 0.020253
14 /big-1000-ZSTD.parquet 8 60267138 ZSTD 1000 155.845840 0.155846 26.566851 0.026567 1839.207031 827.466553 0.449904 1000 0.001663
15 /big-1000-SNAPPY.parquet 8 60267138 SNAPPY 1000 140.178604 0.140179 22.312130 0.022312 1839.207031 1041.368408 0.566205 100 0.007586
16 /big-1000-SNAPPY.parquet 8 60267138 SNAPPY 1000 140.178604 0.140179 22.312130 0.022312 1839.207031 1041.368408 0.566205 100000 0.076360
17 /big-1000-SNAPPY.parquet 8 60267138 SNAPPY 1000 140.178604 0.140179 22.312130 0.022312 1839.207031 1041.368408 0.566205 50000 0.036705
18 /big-1000-SNAPPY.parquet 8 60267138 SNAPPY 1000 140.178604 0.140179 22.312130 0.022312 1839.207031 1041.368408 0.566205 25000 0.019122
19 /big-1000-SNAPPY.parquet 8 60267138 SNAPPY 1000 140.178604 0.140179 22.312130 0.022312 1839.207031 1041.368408 0.566205 1000 0.001192
20 /big-5000-UNCOMP.parquet 8 60267138 UNCOMP 5000 48.984806 0.009797 17.366449 0.003473 1839.207031 770.563721 0.418965 100 0.006326
21 /big-5000-UNCOMP.parquet 8 60267138 UNCOMP 5000 48.984806 0.009797 17.366449 0.003473 1839.207031 770.563721 0.418965 100000 0.046206
22 /big-5000-UNCOMP.parquet 8 60267138 UNCOMP 5000 48.984806 0.009797 17.366449 0.003473 1839.207031 770.563721 0.418965 50000 0.025412
